ID Kecamatan,Kecamatan,ID Kelurahan,Kelurahan
IDN.9.14.1_1,Andir,IDN.9.14.1.1_1,Campaka
IDN.9.14.1_1,Andir,IDN.9.14.1.2_1,Ciroyom
IDN.9.14.1_1,Andir,IDN.9.14.1.3_1,Dungus Cariang
IDN.9.14.1_1,Andir,IDN.9.14.1.4_1,Garuda
IDN.9.14.1_1,Andir,IDN.9.14.1.5_1,Kebon Jeruk
IDN.9.14.1_1,Andir,IDN.9.14.1.6_1,Maleber
IDN.9.14.2_1,Antapani,IDN.9.14.2.1_1,Antapani Kidul
IDN.9.14.2_1,Antapani,IDN.9.14.2.2_1,Antapani Kulon
IDN.9.14.2_1,Antapani,IDN.9.14.2.3_1,Antapani Tengah
IDN.9.14.2_1,Antapani,IDN.9.14.2.4_1,Antapani Wetan
IDN.9.14.3_1,Arcamanik,IDN.9.14.3.1_1,Cisaranten Bina Harapan
IDN.9.14.3_1,Arcamanik,IDN.9.14.3.2_1,Cisaranten Endah
IDN.9.14.3_1,Arcamanik,IDN.9.14.3.3_1,Cisaranten Kulon
IDN.9.14.3_1,Arcamanik,IDN.9.14.3.4_1,Sukamiskin
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.1_1,Cibadak
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.2_1,Karang Anyar
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.3_1,Karasak
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.4_1,Nyengseret
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.5_1,Panjunan
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.6_1,Pelindung Hewan
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.1_1,Babakan
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.2_1,Babakan Ciparay
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.3_1,Cirangrang
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.4_1,Margahayu Utara
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.5_1,Margasuka
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.6_1,Sukahaji
IDN.9.14.6_1,Bandung Kidul,IDN.9.14.6.1_1,Batununggal
IDN.9.14.6_1,Bandung Kidul,IDN.9.14.6.2_1,Kujangsari
IDN.9.14.6_1,Bandung Kidul,IDN.9.14.6.3_1,Mengger
IDN.9.14.6_1,Bandung Kidul,IDN.9.14.6.4_1,Wates
IDN.9.14.7_1,Bandung Kulon,IDN.9.14.7.1_1,Caringin
IDN.9.14.7_1,Bandung Kulon,IDN.9.14.7.2_1,Cibuntu
IDN.9.14.7_1,Bandung Kulon,IDN.9.14.7.3_1,Cigondewah Kaler
IDN.9.14.7_1,Bandung Kulon,IDN.9.14.7.4_1,Cigondewah Kidul
IDN.9.14.7_1,Bandung Kulon,IDN.9.14.7.5_1,Cigondewah Rahayu
IDN.9.14.7_1,Bandung Kulon,IDN.9.14.7.6_1,Cijerah
IDN.9.14.7_1,Bandung Kulon,IDN.9.14.7.7_1,Gempol Sari
IDN.9.14.7_1,Bandung Kulon,IDN.9.14.7.8_1,Warung Muncang
IDN.9.14.8_1,Bandung Wetan,IDN.9.14.8.1_1,Cihapit
IDN.9.14.8_1,Bandung Wetan,IDN.9.14.8.2_1,Citarum
IDN.9.14.8_1,Bandung Wetan,IDN.9.14.8.3_1,Taman Sari
IDN.9.14.9_1,Batununggal,IDN.9.14.9.1_1,Binong
IDN.9.14.9_1,Batununggal,IDN.9.14.9.2_1,Cibangkong
IDN.9.14.9_1,Batununggal,IDN.9.14.9.3_1,Gumuruh
IDN.9.14.9_1,Batununggal,IDN.9.14.9.4_1,Kacapiring
IDN.9.14.9_1,Batununggal,IDN.9.14.9.5_1,Kebon Gedang
IDN.9.14.9_1,Batununggal,IDN.9.14.9.6_1,Kebon Waru
IDN.9.14.9_1,Batununggal,IDN.9.14.9.7_1,Maleer
IDN.9.14.9_1,Batununggal,IDN.9.14.9.8_1,Samoja
IDN.9.14.10_1,Bojongloa Kaler,IDN.9.14.10.1_1,Babakan Asih
IDN.9.14.10_1,Bojongloa Kaler,IDN.9.14.10.2_1,Babakan Tarogong
IDN.9.14.10_1,Bojongloa Kaler,IDN.9.14.10.3_1,Jamika
IDN.9.14.10_1,Bojongloa Kaler,IDN.9.14.10.4_1,Kopo
IDN.9.14.10_1,Bojongloa Kaler,IDN.9.14.10.5_1,Suka Asih
IDN.9.14.11_1,Bojongloa Kidul,IDN.9.14.11.1_1,Cibaduyut
IDN.9.14.11_1,Bojongloa Kidul,IDN.9.14.11.2_1,Cibaduyut Kidul
IDN.9.14.11_1,Bojongloa Kidul,IDN.9.14.11.3_1,Cibaduyut Wetan
IDN.9.14.11_1,Bojongloa Kidul,IDN.9.14.11.4_1,Kebon Lega
IDN.9.14.11_1,Bojongloa Kidul,IDN.9.14.11.5_1,Mekar Wangi
IDN.9.14.11_1,Bojongloa Kidul,IDN.9.14.11.6_1,Situsaeur
IDN.9.14.12_1,Buahbatu,IDN.9.14.12.1_1,Cijaura
IDN.9.14.12_1,Buahbatu,IDN.9.14.12.2_1,Jati Sari
IDN.9.14.12_1,Buahbatu,IDN.9.14.12.3_1,Margasari
IDN.9.14.12_1,Buahbatu,IDN.9.14.12.4_1,Sekejati
IDN.9.14.13_1,Cibeunying Kaler,IDN.9.14.13.1_1,Cigadung
IDN.9.14.13_1,Cibeunying Kaler,IDN.9.14.13.2_1,Cihaurgeulis
IDN.9.14.13_1,Cibeunying Kaler,IDN.9.14.13.3_1,Neglasari
IDN.9.14.13_1,Cibeunying Kaler,IDN.9.14.13.4_1,Sukaluyu
IDN.9.14.14_1,Cibeunying Kidul,IDN.9.14.14.1_1,Cicadas
IDN.9.14.14_1,Cibeunying Kidul,IDN.9.14.14.2_1,Cikutra
IDN.9.14.14_1,Cibeunying Kidul,IDN.9.14.14.3_1,Padasuka
IDN.9.14.14_1,Cibeunying Kidul,IDN.9.14.14.4_1,Pasirlayung
IDN.9.14.14_1,Cibeunying Kidul,IDN.9.14.14.5_1,Sukamaju
IDN.9.14.14_1,Cibeunying Kidul,IDN.9.14.14.6_1,Sukapada
IDN.9.14.15_1,Cibiru,IDN.9.14.15.1_1,Cipadung
IDN.9.14.15_1,Cibiru,IDN.9.14.15.2_1,Cisurupan
IDN.9.14.15_1,Cibiru,IDN.9.14.15.3_1,Palasari
IDN.9.14.15_1,Cibiru,IDN.9.14.15.4_1,Pasir Biru
IDN.9.14.16_1,Cicendo,IDN.9.14.16.1_1,Arjuna
IDN.9.14.16_1,Cicendo,IDN.9.14.16.2_1,Husen Sastranegara
IDN.9.14.16_1,Cicendo,IDN.9.14.16.3_1,Pajajaran
IDN.9.14.16_1,Cicendo,IDN.9.14.16.4_1,Pamoyanan
IDN.9.14.16_1,Cicendo,IDN.9.14.16.5_1,Pasirkaliki
IDN.9.14.16_1,Cicendo,IDN.9.14.16.6_1,Sukaraja
IDN.9.14.17_1,Cidadap,IDN.9.14.17.1_1,Ciumbuleuit
IDN.9.14.17_1,Cidadap,IDN.9.14.17.2_1,Hegarmanah
IDN.9.14.17_1,Cidadap,IDN.9.14.17.3_1,Ledeng
IDN.9.14.18_1,Cinambo,IDN.9.14.18.1_1,Babakan Penghulu
IDN.9.14.18_1,Cinambo,IDN.9.14.18.2_1,Cisaranten Wetan
IDN.9.14.18_1,Cinambo,IDN.9.14.18.3_1,Pakemitan
IDN.9.14.18_1,Cinambo,IDN.9.14.18.4_1,Sukamulya
IDN.9.14.19_1,Coblong,IDN.9.14.19.1_1,Cipaganti
IDN.9.14.19_1,Coblong,IDN.9.14.19.2_1,Dago
IDN.9.14.19_1,Coblong,IDN.9.14.19.3_1,Lebak Gede
IDN.9.14.19_1,Coblong,IDN.9.14.19.4_1,Lebak Siliwangi
IDN.9.14.19_1,Coblong,IDN.9.14.19.5_1,Sadang Serang
IDN.9.14.19_1,Coblong,IDN.9.14.19.6_1,Sekeloa
IDN.9.14.20_1,Gedebage,IDN.9.14.20.1_1,Cimincrang
IDN.9.14.20_1,Gedebage,IDN.9.14.20.2_1,Cisaranten Kidul
IDN.9.14.20_1,Gedebage,IDN.9.14.20.3_1,Rancabolang
IDN.9.14.20_1,Gedebage,IDN.9.14.20.4_1,Rancanumpang
IDN.9.14.21_1,Kiaracondong,IDN.9.14.21.1_1,Babakan Sari
IDN.9.14.21_1,Kiaracondong,IDN.9.14.21.2_1,Babakan Surabaya
IDN.9.14.21_1,Kiaracondong,IDN.9.14.21.3_1,Cicaheum
IDN.9.14.21_1,Kiaracondong,IDN.9.14.21.4_1,Kebon Kangkung
IDN.9.14.21_1,Kiaracondong,IDN.9.14.21.5_1,Kebun Jayanti
IDN.9.14.21_1,Kiaracondong,IDN.9.14.21.6_1,Sukapura
IDN.9.14.22_1,Lengkong,IDN.9.14.22.1_1,Burangrang
IDN.9.14.22_1,Lengkong,IDN.9.14.22.2_1,Cijagra
IDN.9.14.22_1,Lengkong,IDN.9.14.22.3_1,Cikawao
IDN.9.14.22_1,Lengkong,IDN.9.14.22.4_1,Lingkar Selatan
IDN.9.14.22_1,Lengkong,IDN.9.14.22.5_1,Malabar
IDN.9.14.22_1,Lengkong,IDN.9.14.22.6_1,Paledang
IDN.9.14.22_1,Lengkong,IDN.9.14.22.7_1,Turangga
IDN.9.14.23_1,Mandalajati,IDN.9.14.23.1_1,Jatihandap
IDN.9.14.23_1,Mandalajati,IDN.9.14.23.2_1,Karang Pamulang
IDN.9.14.23_1,Mandalajati,IDN.9.14.23.3_1,Pasir Impun
IDN.9.14.23_1,Mandalajati,IDN.9.14.23.4_1,Sindang Jaya
IDN.9.14.24_1,Panyileukan,IDN.9.14.24.1_1,Cipadung Kidul
IDN.9.14.24_1,Panyileukan,IDN.9.14.24.2_1,Cipadung Kulon
IDN.9.14.24_1,Panyileukan,IDN.9.14.24.3_1,Cipadung Wetan
IDN.9.14.24_1,Panyileukan,IDN.9.14.24.4_1,Mekar Mulya
IDN.9.14.25_1,Rancasari,IDN.9.14.25.1_1,Cipamokolan
IDN.9.14.25_1,Rancasari,IDN.9.14.25.2_1,Derwati
IDN.9.14.25_1,Rancasari,IDN.9.14.25.3_1,Manjahlega
IDN.9.14.25_1,Rancasari,IDN.9.14.25.4_1,Mekarjaya
IDN.9.14.26_1,Regol,IDN.9.14.26.1_1,Ancol
IDN.9.14.26_1,Regol,IDN.9.14.26.2_1,Balong Gede
IDN.9.14.26_1,Regol,IDN.9.14.26.3_1,Ciateul
IDN.9.14.26_1,Regol,IDN.9.14.26.4_1,Cigereleng
IDN.9.14.26_1,Regol,IDN.9.14.26.5_1,Ciseureuh
IDN.9.14.26_1,Regol,IDN.9.14.26.6_1,Pasirluyu
IDN.9.14.26_1,Regol,IDN.9.14.26.7_1,Pungkur
IDN.9.14.27_1,Sukajadi,IDN.9.14.27.1_1,Cipedes
IDN.9.14.27_1,Sukajadi,IDN.9.14.27.2_1,Pasteur
IDN.9.14.27_1,Sukajadi,IDN.9.14.27.3_1,Sukabungah
IDN.9.14.27_1,Sukajadi,IDN.9.14.27.4_1,Sukagalih
IDN.9.14.27_1,Sukajadi,IDN.9.14.27.5_1,Sukawarna
IDN.9.14.28_1,Sukasari,IDN.9.14.28.1_1,Gegerkalong
IDN.9.14.28_1,Sukasari,IDN.9.14.28.2_1,Isola
IDN.9.14.28_1,Sukasari,IDN.9.14.28.3_1,Sarijadi
IDN.9.14.28_1,Sukasari,IDN.9.14.28.4_1,Sukarasa
IDN.9.14.29_1,Sumur Bandung,IDN.9.14.29.1_1,Babakan Ciamis
IDN.9.14.29_1,Sumur Bandung,IDN.9.14.29.2_1,Braga
IDN.9.14.29_1,Sumur Bandung,IDN.9.14.29.3_1,Kebon Pisang
IDN.9.14.29_1,Sumur Bandung,IDN.9.14.29.4_1,Merdeka
IDN.9.14.30_1,Ujung Berung,IDN.9.14.30.1_1,Cigending
IDN.9.14.30_1,Ujung Berung,IDN.9.14.30.2_1,Pasanggrahan
IDN.9.14.30_1,Ujung Berung,IDN.9.14.30.3_1,Pasir Endah
IDN.9.14.30_1,Ujung Berung,IDN.9.14.30.4_1,Pasir Wangi
IDN.9.14.30_1,Ujung Berung,IDN.9.14.30.5_1,Pasirjati
