name,address,lat,lng,rating,user_ratings_total
Rumah Makan Selamat,"Jalan Raya Cijerah No.193, Cibuntu",-6.925207700000001,107.5664909,4.3,21
Sate Jando Kina 18,"Jalan Raya Cijerah No.181, Cijerah",-6.925308199999999,107.5672835,5,4
Mie Baso Bumiayu,"Jalan Raya Cijerah No.173, Cibuntu",-6.9247907,107.5671601,4.5,184
Ayam Goreng Lengkong 2,Jalan Pine Living No.32,-6.926242800000001,107.5684707,5,17
KAVOD SEAFOOD,"Jalan Pine Living No.22, Cibuntu",-6.925739200000001,107.5686094,5,2
Warung Nasi Barokah,"Jalan Raya Cijerah No.149, Cibuntu",-6.923222,107.5683332,4.5,11
Rumah Makan Pusako Minang,"Jalan Raya Cijerah No.149, Cibuntu",-6.922914500000001,107.568342,4.8,8
OKE FOOD,"sesuai titik, Jalan Raya Cijerah Gang Pasantren RT.07/RW.06, Cibuntu",-6.9202751,107.5701712,5,2
Rumah Makan Derana Masakan Padang,"Jalan Raya Cijerah No.95, Cibuntu",-6.920183899999999,107.5699701,4.7,6
Scooter Fanatic Seblak,"Jalan Raya Cijerah No.97, Cijerah",-6.920311499999999,107.5699695,3.8,4
Warteg Ibu Iis,Indonesia,-6.920696899999999,107.5709535,5,1
Sofia Gusti,"3HJC+49W, Cibuntu",-6.919644399999999,107.570967,3.8,5
Bakmie 88,"Jl. H. Anwar No.10, Cibuntu, Bandung Kidul, Cibuntu",-6.919174,107.570783,4.5,2
Ketoprak Cipta Rasa,Jalan Haji Anwar No.5,-6.919031800000001,107.5705604,5,16
Warung Nasi Mamah Uji,"Jalan Haji Anwar No.123, Cibuntu",-6.9192936,107.5711034,4.8,4
Baso Barokah Pak Sholeh,"Jalan Haji Anwar No.1, Cibuntu",-6.918920399999999,107.5705933,3,8
Ayam Goreng Suniaratu Cijerah,"Jalan Haji Anwar No.1, Cibuntu",-6.918920099999999,107.5705933,5,4
Warung mamil,"3HJC+FC2, Jalan Haji Anwar RT.02/RW.06, Cibuntu",-6.918864,107.5710256,5,1
Katsu RH,"Mekar, Jalan Kapur Jalan Bojong Raya RT.05/RW.10, Cibuntu",-6.9254839,107.5716113,Unknown,Unknown
Seblak & Goreng goreng ceu Titin,"3HJC+3GQ, Jalan Raya Cijerah Jalan Haji Anwar RT.04/RW.08",-6.91979,107.5713603,Unknown,Unknown
Rumah Makan Ramadhan,"Jalan Raya Cijerah No.11, Cibuntu",-6.9154187,107.5712783,5,1
Ayam Goreng dan Sate Padang Mangkuto,"Jalan Raya Cijerah No.13, Cibuntu",-6.915543899999999,107.5712482,4.4,134
Ayam Berkah & Berkah Catering - Raya Cijerah,"Jalan Raya Cijerah No.9, Cibuntu",-6.9153372,107.5713125,4.5,391
Xia Xia Kitchen,"MAN 1 Bandung, Jalan Kapur No.1, RT.06/RW.09, Cibuntu",-6.923845099999999,107.5717651,5,1
Dapur Ella,"Jln. Terusan HJ Alfi RT 008 RW 008 NO 410, Cibuntu",-6.9215738,107.5723432,Unknown,Unknown
Andalucious,"Jalan Haji Alpi No.70, RT.07/RW.08, Cibuntu",-6.921054300000001,107.5721301,5,5
TTC @ terastehcha,"Jalan Terusan H Alpi, Gg. H.Marjuki, Jl. Cibuntu Sel RW No.149, RT.03/RW.08, Cibuntu",-6.920612900000001,107.5718988,Unknown,Unknown
Ayam bakar dan chicken popcorn barokah,"Jalan Haji Anwar No.49, Cibuntu",-6.9192784,107.5718753,Unknown,Unknown
Warung ngemil aci,"Masjid baitul muttaqin, Jalan Soekarno-Hatta, Cibuntu",-6.9234249,107.5728212,5,1
Nasi Kuning dan Gorengan Toko Pa Beni,Cibuntu,-6.923362600000001,107.5728341,3.7,3
Jajanan Alisha,"3HGF+J5X, Gang Kh. Moca. Andi, Cibuntu",-6.923396099999999,107.5729973,5,1
Ayam Bakar & Ayam Goreng Si Madu,"3HHF+63X, Jalan Terusan H Alpi, Cibuntu",-6.921884199999999,107.572748,5,3
Mie Ayam Baso Maitra,"Jalan Terusan H Alpi No.20, Cibuntu",-6.921780499999999,107.5726969,4.3,12
Chacha store,"Jalan Haji Alpi Gang H. Marzuki No.149, Cibuntu",-6.9208032,107.5725794,5,2
Ayam Cola Teh Lia,Jalan Terusan H Alpi No.3,-6.9209998,107.5725594,5,1
Macren,"Jalan Haji Alpi No.59, RW.004/001, Cibuntu",-6.9206799,107.572498,Unknown,Unknown
Bakmie Elvano,"Jalan Haji Alpi No.48, Cibuntu",-6.920096199999999,107.5726151,5,12
YFC Cabang Cijerah,"3HJF+C58, Jalan Haji Alpi, Cibuntu",-6.9189598,107.5729486,5,10
Mie Bakso Eyang Rezeki,"Jalan Haji Alpi Gg. Haji Alpi VI RT.01/RW.01, Cibuntu",-6.918962199999999,107.5729486,Unknown,Unknown
FAZWA CAFFE,"Jalan Haji Alpi No.32, Cibuntu",-6.918996499999999,107.5729345,4.2,42
Dapoer Jatim,"3HJF+V32, Cibuntu",-6.917857399999999,107.5726349,5,1
Katsuin - Sudirman Bandung,"Jalan Jend. Sudirman No.737, Cibuntu",-6.9162784,107.5726838,Unknown,Unknown
Ayam Tulang Lunak Si Bagja,"Jalan Haji Alpi No.15, Cibuntu",-6.9183752,107.5732834,4.7,3
Baso Aris,"Jalan Haji Alpi No.15, Cibuntu",-6.9185446,107.5732423,4.3,12
Baso GOLER Tulang Rusuk/IGA dan Balung,"Jalan Haji Alpi No.116, RT.06/RW.01, Cibuntu",-6.9185113,107.5731171,4.5,145
Ayam Geprek Salman,"Jalan Haji Alpi No.22, Cibuntu",-6.9184581,107.5730468,5,4
Warteg Tunas Bahari,"Jalan Jend. Sudirman No.719, Cibuntu",-6.9168709,107.5734291,Unknown,Unknown
Dapoer Maknyoes,"Gang Kh. Moca. Andi No.264, Cibuntu",-6.923441799999999,107.5738128,Unknown,Unknown
Warung Alit Teh Lina,"3HGF+HG4, Gang Kh. Moca. Andi, Cibuntu",-6.9236103,107.5738386,Unknown,Unknown
NGE DRINK HEULA,"Jalan Soekarno-Hatta Gg. Nurkasim No.24, RT.02/RW.04",-6.9221982,107.5738502,5,2
KyuuStand!,"Jalan Soekarno-Hatta No.20, Cibuntu",-6.920222599999999,107.5741968,Unknown,Unknown
MIE BASO BATAGOR PA ANO,Indonesia,-6.9181567,107.5742582,Unknown,Unknown
RM VIVIT,Indonesia,-6.917958800000001,107.5742491,Unknown,Unknown
WARTEG ENAKK,"Jalan Soekarno-Hatta No.182, Cibuntu",-6.923931000000001,107.574855,Unknown,Unknown
Warteg Abby,Indonesia,-6.923926,107.5748865,Unknown,Unknown
WARUNG EONNI,"3HGF+PRH, Gang Kh. Moca. Andi, Cibuntu",-6.923193399999999,107.574621,3.9,7
Incesss ayam & ikan goreng,"Gang Kh. Moca. Andi, Cibuntu",-6.922954900000001,107.5746493,Unknown,Unknown
Warung Nasi Djongko Utama,"Jalan Soekarno-Hatta No.54, Cibuntu",-6.923347199999999,107.574675,4.9,8
Sate & Gule HOLIS Haji Roni,"Jalan Soekarno-Hatta No.44, Cibuntu",-6.9224274,107.5746493,4.7,195
Rumah Makan Mamora Khas Toba,"Jalan Soekarno-Hatta No.48, Cibuntu",-6.9227631,107.5746719,4.2,9
RM. Harapan Baru,"Jalan Soekarno-Hatta B No.42, Cibuntu",-6.9215539,107.5744943,4.3,13
Warung Bu Momoh,"Jalan Soekarno-Hatta No.35, Cibuntu",-6.921888499999999,107.5748088,Unknown,Unknown
RMP AROMA MINANG,Indonesia,-6.921449299999999,107.5744995,Unknown,Unknown
Budget Catering,"Jalan Soekarno-Hatta No.34, Cibuntu",-6.921047800000001,107.5744322,5,1
warung San-San,"Jalan Soekarno-Hatta No.38 RT 10/03, Cibuntu",-6.921152499999999,107.574391,5,2
Ayam Goreng Ny. Yap,"3HHF+HQJ, Unnamed Road, Cibuntu",-6.921035300000001,107.5743856,5,43
RMP AROMA MINANG,Indonesia,-6.921449299999999,107.5744995,Unknown,Unknown
Warteg Bahari,Indonesia,-6.920455,107.5743202,4,2
Warung Nasi Berkah,"Jalan Soekarno-Hatta No.19A, Cibuntu",-6.919823,107.5745135,5,4
Warung Akbar Jaya,"Jalan Soekarno-Hatta No.9, Cibuntu",-6.9188728,107.5745322,Unknown,Unknown
Nasi Goreng Mas Sugih,"Jalan Holis No.56, Warung Muncang",-6.922772999999999,107.575367,5,8
Warung Nasi Mang Oding,"Jalan Holis No.57, Cibuntu",-6.922659,107.5754011,5,1
Rumah Makan Paris Masakan Padang,Indonesia,-6.9226649,107.5754191,3,2
Mie Baso Slamet,"Jalan Holis No.84, Cibuntu",-6.9225639,107.5752957,Unknown,Unknown
WARNAS CI SEUPAN,Indonesia,-6.9227511,107.5749355,5,1
Warung Nasi Ciseupan,"3HGF+WX8, Jalan Soekarno-Hatta, Cibuntu",-6.922709,107.5749426,5,1
Baso Kasidi Thea,"Jalan Soekarno-Hatta No.45, Cibuntu",-6.923052299999999,107.5749674,3.6,5
Baso Tahu Siomay Shaka,"Jalan Holis No.74, Cibuntu",-6.922060399999999,107.5754686,5,1
Chicken Star Ayam Crispy,"Jalan Holis No.82, Cibuntu",-6.9224004,107.5754152,5,6
"Sate Jboy, Holis","Jalan Holis No.72, Cibuntu",-6.921933199999999,107.5754701,5,1
Bakso 64,Jalan Holis No.64,-6.9214711,107.5754068,Unknown,Unknown
RISOLE ZIBEUH,"Jl. Holis gg siti farimah No.28, RT.08/RW.03, Cibuntu",-6.919546899999999,107.5752138,5,2
WARUNG NASI PA'SUNDA ( Cita Rasa Khas Sunda ),Gang Hj. Siti Fatimah Jalan Holis,-6.9195762,107.5752151,3.9,7
Spatula Persib33 Aing Pisan,"rumah roni, Jalan Holis gg siti fatimah RT.08/RW.03",-6.9194244,107.5751053,4.7,6
Seblak Spesialis (Anggi),"shelter taraksa bandung, Gang Hj. Siti Rohmah Jalan Holis No.9/81, Cibuntu",-6.9185714,107.5753737,4.6,22
Mamih masak,"3HJG+P3Q, Gang BP. Jumenah, Cibuntu",-6.9181653,107.5752485,5,3
Sangu Ciamis,"Jalan Holis No.26, Cibuntu",-6.919395799999999,107.5758792,Unknown,Unknown
Warung Cemilan Mama Arsya,"Jalan Holis gg siti farimah No.28, RT.08/RW.03, Cibuntu",-6.919418200000001,107.5757703,4.5,2
Ayam fresto geprek / ayam bakar,"3HJG+J82, Cibuntu",-6.918486099999999,107.5757704,5,1
Mie Kocok Tulang Iga holis,Jalan Holis No.14,-6.9183958,107.5759847,4.8,59
AR Takoyaki Dan Cumi Bakar,"Jalan Holis No.14, Cibuntu",-6.9183958,107.5759847,5,1
Ayam Geprek 51,"3HJG+G7G, Gang Hj. Siti Rohmah, Cibuntu",-6.9186812,107.5756973,Unknown,Unknown
Warung Nasi & Bubur Ayam Ibu Al Otoy,"Jalan Holis No.19, Cibuntu",-6.9185021,107.576162,5,2
Mie ayam bakso CJDW,"Jalan Jend. Sudirman No.671, Cibuntu",-6.917648,107.576023,Unknown,Unknown
Bapao Lina,"Jalan Holis No.6, Cibuntu",-6.917973300000001,107.5760754,5,1
