GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4,VALUE
IDN.9.14.1.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Campaka,NA,Kelurahan,Urban Community,3273180001,383
IDN.9.14.1.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Ciroyom,NA,Kelurahan,Urban Community,3273180005,666
IDN.9.14.1.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Dungus Cariang,NA,Kelurahan,Urban Community,3273180004,657
IDN.9.14.1.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Garuda,NA,Kelurahan,Urban Community,3273180003,674
IDN.9.14.1.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Kebon Jeruk,NA,Kelurahan,Urban Community,3273180006,897
IDN.9.14.1.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Maleber,NA,Kelurahan,Urban Community,3273180002,405
IDN.9.14.2.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.2_1,Antapani,Antapani Kidul,NA,Kelurahan,Urban Community,3273141001,634
IDN.9.14.2.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.2_1,Antapani,Antapani Kulon,NA,Kelurahan,Urban Community,3273141004,259
IDN.9.14.2.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.2_1,Antapani,Antapani Tengah,NA,Kelurahan,Urban Community,3273141002,740
IDN.9.14.2.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.2_1,Antapani,Antapani Wetan,NA,Kelurahan,Urban Community,3273141003,291
IDN.9.14.3.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.3_1,Arcamanik,Cisaranten Bina Harapan,NA,Kelurahan,Urban Community,3273130002,922
IDN.9.14.3.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.3_1,Arcamanik,Cisaranten Endah,NA,Kelurahan,Urban Community,3273130005,479
IDN.9.14.3.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.3_1,Arcamanik,Cisaranten Kulon,NA,Kelurahan,Urban Community,3273130001,762
IDN.9.14.3.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.3_1,Arcamanik,Sukamiskin,NA,Kelurahan,Urban Community,3273130003,544
IDN.9.14.4.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.4_1,Astanaanyar,Cibadak,NA,Kelurahan,Urban Community,3273050005,531
IDN.9.14.4.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.4_1,Astanaanyar,Karang Anyar,NA,Kelurahan,Urban Community,3273050006,179
IDN.9.14.4.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.4_1,Astanaanyar,Karasak,NA,Kelurahan,Urban Community,3273050001,955
IDN.9.14.4.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.4_1,Astanaanyar,Nyengseret,NA,Kelurahan,Urban Community,3273050003,854
IDN.9.14.4.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.4_1,Astanaanyar,Panjunan,NA,Kelurahan,Urban Community,3273050004,501
IDN.9.14.4.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.4_1,Astanaanyar,Pelindung Hewan,NA,Kelurahan,Urban Community,3273050002,332
IDN.9.14.5.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.5_1,Babakan Ciparay,Babakan,NA,Kelurahan,Urban Community,3273020005,350
IDN.9.14.5.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.5_1,Babakan Ciparay,Babakan Ciparay,NA,Kelurahan,Urban Community,3273020004,388
IDN.9.14.5.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.5_1,Babakan Ciparay,Cirangrang,NA,Kelurahan,Urban Community,3273020002,371
IDN.9.14.5.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.5_1,Babakan Ciparay,Margahayu Utara,NA,Kelurahan,Urban Community,3273020003,783
IDN.9.14.5.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.5_1,Babakan Ciparay,Margasuka,NA,Kelurahan,Urban Community,3273020001,641
IDN.9.14.5.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.5_1,Babakan Ciparay,Sukahaji,NA,Kelurahan,Urban Community,3273020006,671
IDN.9.14.6.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.6_1,Bandung Kidul,Batununggal,NA,Kelurahan,Urban Community,3273080003,890
IDN.9.14.6.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.6_1,Bandung Kidul,Kujangsari,NA,Kelurahan,Urban Community,3273080004,986
IDN.9.14.6.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.6_1,Bandung Kidul,Mengger,NA,Kelurahan,Urban Community,3273080002,547
IDN.9.14.6.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.6_1,Bandung Kidul,Wates,NA,Kelurahan,Urban Community,3273080001,605
IDN.9.14.7.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Caringin,NA,Kelurahan,Urban Community,3273010005,986
IDN.9.14.7.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cibuntu,NA,Kelurahan,Urban Community,3273010007,547
IDN.9.14.7.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cigondewah Kaler,NA,Kelurahan,Urban Community,3273010002,802
IDN.9.14.7.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cigondewah Kidul,NA,Kelurahan,Urban Community,3273010003,199
IDN.9.14.7.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cigondewah Rahayu,NA,Kelurahan,Urban Community,3273010004,645
IDN.9.14.7.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cijerah,NA,Kelurahan,Urban Community,3273010008,881
IDN.9.14.7.7_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Gempol Sari,NA,Kelurahan,Urban Community,3273010001,636
IDN.9.14.7.8_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Warung Muncang,NA,Kelurahan,Urban Community,3273010006,976
IDN.9.14.8.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.8_1,Bandung Wetan,Cihapit,NA,Kelurahan,Urban Community,3273200003,194
IDN.9.14.8.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.8_1,Bandung Wetan,Citarum,NA,Kelurahan,Urban Community,3273200002,929
IDN.9.14.8.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.8_1,Bandung Wetan,Taman Sari,NA,Kelurahan,Urban Community,3273200001,305
IDN.9.14.9.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Binong,NA,Kelurahan,Urban Community,3273160002,482
IDN.9.14.9.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Cibangkong,NA,Kelurahan,Urban Community,3273160005,546
IDN.9.14.9.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Gumuruh,NA,Kelurahan,Urban Community,3273160001,904
IDN.9.14.9.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Kacapiring,NA,Kelurahan,Urban Community,3273160007,143
IDN.9.14.9.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Kebon Gedang,NA,Kelurahan,Urban Community,3273160003,442
IDN.9.14.9.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Kebon Waru,NA,Kelurahan,Urban Community,3273160008,450
IDN.9.14.9.7_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Maleer,NA,Kelurahan,Urban Community,3273160004,655
IDN.9.14.9.8_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Samoja,NA,Kelurahan,Urban Community,3273160006,784
IDN.9.14.10.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Babakan Asih,NA,Kelurahan,Urban Community,3273030003,861
IDN.9.14.10.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Babakan Tarogong,NA,Kelurahan,Urban Community,3273030004,545
IDN.9.14.10.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Jamika,NA,Kelurahan,Urban Community,3273030005,266
IDN.9.14.10.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Kopo,NA,Kelurahan,Urban Community,3273030001,790
IDN.9.14.10.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Suka Asih,NA,Kelurahan,Urban Community,3273030002,862
IDN.9.14.11.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Cibaduyut,NA,Kelurahan,Urban Community,3273040004,326
IDN.9.14.11.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Cibaduyut Kidul,NA,Kelurahan,Urban Community,3273040001,457
IDN.9.14.11.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Cibaduyut Wetan,NA,Kelurahan,Urban Community,3273040002,403
IDN.9.14.11.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Kebon Lega,NA,Kelurahan,Urban Community,3273040005,281
IDN.9.14.11.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Mekar Wangi,NA,Kelurahan,Urban Community,3273040003,715
IDN.9.14.11.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Situsaeur,NA,Kelurahan,Urban Community,3273040006,642
IDN.9.14.12.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.12_1,Buahbatu,Cijaura,NA,Kelurahan,Urban Community,3273090001,637
IDN.9.14.12.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.12_1,Buahbatu,Jati Sari,NA,Kelurahan,Urban Community,3273090004,658
IDN.9.14.12.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.12_1,Buahbatu,Margasari,NA,Kelurahan,Urban Community,3273090002,502
IDN.9.14.12.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.12_1,Buahbatu,Sekejati,NA,Kelurahan,Urban Community,3273090003,731
IDN.9.14.13.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.13_1,Cibeunying Kaler,Cigadung,NA,Kelurahan,Urban Community,3273220004,734
IDN.9.14.13.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.13_1,Cibeunying Kaler,Cihaurgeulis,NA,Kelurahan,Urban Community,3273220001,359
IDN.9.14.13.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.13_1,Cibeunying Kaler,Neglasari,NA,Kelurahan,Urban Community,3273220003,959
IDN.9.14.13.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.13_1,Cibeunying Kaler,Sukaluyu,NA,Kelurahan,Urban Community,3273220002,415
IDN.9.14.14.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Cicadas,NA,Kelurahan,Urban Community,3273210002,506
IDN.9.14.14.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Cikutra,NA,Kelurahan,Urban Community,3273210003,732
IDN.9.14.14.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Padasuka,NA,Kelurahan,Urban Community,3273210004,419
IDN.9.14.14.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Pasirlayung,NA,Kelurahan,Urban Community,3273210005,865
IDN.9.14.14.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Sukamaju,NA,Kelurahan,Urban Community,3273210001,685
IDN.9.14.14.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Sukapada,NA,Kelurahan,Urban Community,3273210006,884
