GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4,VALUE
IDN.9.14.15.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.15_1,Cibiru,Cipadung,NA,Kelurahan,Urban Community,3273110004,417
IDN.9.14.15.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.15_1,Cibiru,Cisurupan,NA,Kelurahan,Urban Community,3273110006,449
IDN.9.14.15.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.15_1,Cibiru,Palasari,NA,Kelurahan,Urban Community,3273110005,791
IDN.9.14.15.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.15_1,Cibiru,Pasir Biru,NA,Kelurahan,Urban Community,3273110003,972
IDN.9.14.16.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Arjuna,NA,Kelurahan,Urban Community,3273190001,442
IDN.9.14.16.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Husen Sastranegara,NA,Kelurahan,Urban Community,3273190005,326
IDN.9.14.16.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Pajajaran,NA,Kelurahan,Urban Community,3273190004,108
IDN.9.14.16.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Pamoyanan,NA,Kelurahan,Urban Community,3273190003,803
IDN.9.14.16.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Pasirkaliki,NA,Kelurahan,Urban Community,3273190002,629
IDN.9.14.16.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Sukaraja,NA,Kelurahan,Urban Community,3273190006,955
IDN.9.14.17.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.17_1,Cidadap,Ciumbuleuit,NA,Kelurahan,Urban Community,3273260002,454
IDN.9.14.17.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.17_1,Cidadap,Hegarmanah,NA,Kelurahan,Urban Community,3273260001,311
IDN.9.14.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.17_1,Cidadap,Ledeng,NA,Kelurahan,Urban Community,3273260003,977
IDN.9.14.18.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.18_1,Cinambo,Babakan Penghulu,NA,Kelurahan,Urban Community,3273121002,507
IDN.9.14.18.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.18_1,Cinambo,Cisaranten Wetan,NA,Kelurahan,Urban Community,3273121001,454
IDN.9.14.18.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.18_1,Cinambo,Pakemitan,NA,Kelurahan,Urban Community,3273121003,198
IDN.9.14.18.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.18_1,Cinambo,Sukamulya,NA,Kelurahan,Urban Community,3273121004,256
IDN.9.14.19.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Cipaganti,NA,Kelurahan,Urban Community,3273230001,700
IDN.9.14.19.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Dago,NA,Kelurahan,Urban Community,3273230006,411
IDN.9.14.19.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Lebak Gede,NA,Kelurahan,Urban Community,3273230003,520
IDN.9.14.19.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Lebak Siliwangi,NA,Kelurahan,Urban Community,3273230002,711
IDN.9.14.19.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Sadang Serang,NA,Kelurahan,Urban Community,3273230004,630
IDN.9.14.19.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Sekeloa,NA,Kelurahan,Urban Community,3273230005,725
IDN.9.14.20.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.20_1,Gedebage,Cimincrang,NA,Kelurahan,Urban Community,3273101004,570
IDN.9.14.20.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.20_1,Gedebage,Cisaranten Kidul,NA,Kelurahan,Urban Community,3273101003,915
IDN.9.14.20.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.20_1,Gedebage,Rancabolang,NA,Kelurahan,Urban Community,3273101001,607
IDN.9.14.20.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.20_1,Gedebage,Rancanumpang,NA,Kelurahan,Urban Community,3273101002,482
IDN.9.14.21.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Babakan Sari,NA,Kelurahan,Urban Community,3273150004,790
IDN.9.14.21.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Babakan Surabaya,NA,Kelurahan,Urban Community,3273150005,445
IDN.9.14.21.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Cicaheum,NA,Kelurahan,Urban Community,3273150006,572
IDN.9.14.21.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Kebon Kangkung,NA,Kelurahan,Urban Community,3273150001,679
IDN.9.14.21.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Kebun Jayanti,NA,Kelurahan,Urban Community,3273150003,566
IDN.9.14.21.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Sukapura,NA,Kelurahan,Urban Community,3273150002,224
IDN.9.14.22.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Burangrang,NA,Kelurahan,Urban Community,3273070005,274
IDN.9.14.22.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Cijagra,NA,Kelurahan,Urban Community,3273070001,783
IDN.9.14.22.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Cikawao,NA,Kelurahan,Urban Community,3273070006,996
IDN.9.14.22.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Lingkar Selatan,NA,Kelurahan,Urban Community,3273070003,904
IDN.9.14.22.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Malabar,NA,Kelurahan,Urban Community,3273070004,494
IDN.9.14.22.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Paledang,NA,Kelurahan,Urban Community,3273070007,534
IDN.9.14.22.7_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Turangga,NA,Kelurahan,Urban Community,3273070002,226
IDN.9.14.23.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.23_1,Mandalajati,Jatihandap,NA,Kelurahan,Urban Community,3273142001,990
IDN.9.14.23.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.23_1,Mandalajati,Karang Pamulang,NA,Kelurahan,Urban Community,3273142002,153
IDN.9.14.23.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.23_1,Mandalajati,Pasir Impun,NA,Kelurahan,Urban Community,3273142004,235
IDN.9.14.23.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.23_1,Mandalajati,Sindang Jaya,NA,Kelurahan,Urban Community,3273142003,173
IDN.9.14.24.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.24_1,Panyileukan,Cipadung Kidul,NA,Kelurahan,Urban Community,3273111002,637
IDN.9.14.24.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.24_1,Panyileukan,Cipadung Kulon,NA,Kelurahan,Urban Community,3273111004,651
IDN.9.14.24.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.24_1,Panyileukan,Cipadung Wetan,NA,Kelurahan,Urban Community,3273111003,481
IDN.9.14.24.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.24_1,Panyileukan,Mekar Mulya,NA,Kelurahan,Urban Community,3273111001,932
IDN.9.14.25.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.25_1,Rancasari,Cipamokolan,NA,Kelurahan,Urban Community,3273100002,683
IDN.9.14.25.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.25_1,Rancasari,Derwati,NA,Kelurahan,Urban Community,3273100001,396
IDN.9.14.25.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.25_1,Rancasari,Manjahlega,NA,Kelurahan,Urban Community,3273100005,489
IDN.9.14.25.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.25_1,Rancasari,Mekarjaya,NA,Kelurahan,Urban Community,3273100006,291
IDN.9.14.26.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Ancol,NA,Kelurahan,Urban Community,3273060003,456
IDN.9.14.26.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Balong Gede,NA,Kelurahan,Urban Community,3273060007,456
IDN.9.14.26.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Ciateul,NA,Kelurahan,Urban Community,3273060005,844
IDN.9.14.26.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Cigereleng,NA,Kelurahan,Urban Community,3273060004,700
IDN.9.14.26.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Ciseureuh,NA,Kelurahan,Urban Community,3273060001,972
IDN.9.14.26.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Pasirluyu,NA,Kelurahan,Urban Community,3273060002,893
IDN.9.14.26.7_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Pungkur,NA,Kelurahan,Urban Community,3273060006,933
IDN.9.14.27.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Cipedes,NA,Kelurahan,Urban Community,3273240004,673
IDN.9.14.27.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Pasteur,NA,Kelurahan,Urban Community,3273240005,818
IDN.9.14.27.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Sukabungah,NA,Kelurahan,Urban Community,3273240003,623
IDN.9.14.27.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Sukagalih,NA,Kelurahan,Urban Community,3273240002,123
IDN.9.14.27.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Sukawarna,NA,Kelurahan,Urban Community,3273240001,770
IDN.9.14.28.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.28_1,Sukasari,Gegerkalong,NA,Kelurahan,Urban Community,3273250003,952
IDN.9.14.28.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.28_1,Sukasari,Isola,NA,Kelurahan,Urban Community,3273250004,392
IDN.9.14.28.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.28_1,Sukasari,Sarijadi,NA,Kelurahan,Urban Community,3273250001,292
IDN.9.14.28.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.28_1,Sukasari,Sukarasa,NA,Kelurahan,Urban Community,3273250002,279
IDN.9.14.29.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.29_1,Sumur Bandung,Babakan Ciamis,NA,Kelurahan,Urban Community,3273170004,452
IDN.9.14.29.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.29_1,Sumur Bandung,Braga,NA,Kelurahan,Urban Community,3273170001,793
IDN.9.14.29.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.29_1,Sumur Bandung,Kebon Pisang,NA,Kelurahan,Urban Community,3273170002,330
IDN.9.14.29.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.29_1,Sumur Bandung,Merdeka,NA,Kelurahan,Urban Community,3273170003,388
IDN.9.14.30.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Cigending,NA,Kelurahan,Urban Community,3273120006,573
IDN.9.14.30.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Pasanggrahan,NA,Kelurahan,Urban Community,3273120003,613
IDN.9.14.30.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Pasir Endah,NA,Kelurahan,Urban Community,3273120007,458
IDN.9.14.30.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Pasir Wangi,NA,Kelurahan,Urban Community,3273120005,852
IDN.9.14.30.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Pasirjati,NA,Kelurahan,Urban Community,3273120004,256
